student_id,nom,prenom,sexe,date_naissance,departement,filiere,niveau,annee_academique,ue,matiere,enseignant,note
EPL0027,DELANNOY,Thomas,M,19/02/1996,Réseaux & Télécoms,Télécommunications,L1,2025-2026,UE101,Réseaux de base,Mme KOUADIO,8.55
EPL0028,BERNARD,Thomas,F,18/10/1999,Informatique,Génie Logiciel,L3,2025-2026,UE302,Base de données,Mme KOUADIO,13.13
EPL0029,BERNARD,Lucas,F,25/05/2001,Informatique,Intelligence Artificielle,L3,2025-2026,UE302,Base de données,M. DADEOU,10.2
EPL0030,WAGNER,Danielle,M,13/01/2002,Génie Civil,GC Bâtiment,M1,2025-2026,UE301,Mathématiques,Prof TRAORE,11.12
EPL0031,ROBERT,Madeleine,M,23/05/2006,Génie Civil,GC Bâtiment,L2,2025-2026,UE102,Électricité,Prof TRAORE,10.19
EPL0032,WAGNER,Sophie,M,11/10/2007,Génie Civil,GC Bâtiment,M1,2025-2026,UE301,Mathématiques,M. DADEOU,17.56
EPL0033,PETIT,Antoine,F,06/11/2000,Génie Civil,GC Travaux Publics,L2,2025-2026,UE102,Électricité,M. DADEOU,11.96
EPL0034,DIJOUX,Lucas,F,03/02/2002,Génie Civil,GC Bâtiment,L3,2025-2026,UE201,Résistance des matériaux,Mme KOUADIO,8.83
EPL0035,ROBERT,Stéphane,F,21/12/1997,Informatique,Génie Logiciel,L3,2025-2026,UE302,Base de données,M. DADEOU,14.47
EPL0036,DIJOUX,Thomas,F,12/11/2006,Génie Civil,GC Travaux Publics,M1,2025-2026,UE301,Mathématiques,Mme KOUADIO,8.34
EPL0037,MARTIN,Agathe,M,30/05/2007,Génie Civil,GC Travaux Publics,L3,2025-2026,UE201,Résistance des matériaux,Prof TRAORE,12.63
EPL0038,DUPONT,Stéphane,F,03/05/2006,Informatique,Intelligence Artificielle,L3,2025-2026,UE302,Base de données,Prof TRAORE,6.12
EPL0039,BERNARD,Lucas,M,30/01/1995,Informatique,Génie Logiciel,M1,2025-2026,UE401,Machine Learning,Prof TRAORE,8.02
EPL0040,MOREAU,Julie,F,31/07/2007,Génie Civil,GC Bâtiment,L2,2025-2026,UE102,Électricité,Prof TRAORE,12.59
EPL0041,SCHMITT,Emma,M,21/08/2004,Génie Civil,GC Bâtiment,L3,2025-2026,UE201,Résistance des matériaux,Mme KOUADIO,14.22
EPL0042,DUPONT,Stéphane,M,22/04/1997,Informatique,Intelligence Artificielle,L3,2025-2026,UE302,Base de données,Mme KOUADIO,12.51
EPL0043,DIJOUX,Sophie,M,09/01/1999,Réseaux & Télécoms,Télécommunications,L2,2025-2026,UE202,Transmission de données,M. DADEOU,11.65
EPL0044,DIJOUX,Agathe,F,14/11/1995,Informatique,Génie Logiciel,L3,2025-2026,UE302,Base de données,M. DADEOU,11.1
EPL0045,MARTIN,Stéphane,M,13/07/1995,Réseaux & Télécoms,Télécommunications,L2,2025-2026,UE202,Transmission de données,M. DADEOU,7.56
EPL0046,DELANNOY,Lucas,F,05/06/2006,Informatique,Intelligence Artificielle,L3,2025-2026,UE302,Base de données,M. DADEOU,9.84
EPL0047,DIJOUX,Antoine,F,10/11/1995,Génie Civil,GC Travaux Publics,L3,2025-2026,UE201,Résistance des matériaux,M. DADEOU,10.62
EPL0048,PETIT,Julie,M,22/08/2003,Réseaux & Télécoms,Télécommunications,L2,2025-2026,UE202,Transmission de données,Prof TRAORE,15.17
EPL0049,BERNARD,Danielle,M,03/03/2003,Informatique,Génie Logiciel,M1,2025-2026,UE401,Machine Learning,Prof TRAORE,13.03
EPL0050,DELANNOY,Lucas,F,28/02/2004,Informatique,Intelligence Artificielle,M1,2025-2026,UE401,Machine Learning,Mme KOUADIO,6.71
EPL0051,BERNARD,Sophie,M,07/10/2007,Informatique,Intelligence Artificielle,L3,2025-2026,UE302,Base de données,M. DADEOU,12.97
EPL0052,WAGNER,Sophie,F,06/06/2005,Informatique,Intelligence Artificielle,L3,2025-2026,UE302,Base de données,Prof TRAORE,10.84
EPL0053,DIJOUX,Agathe,F,24/07/2006,Réseaux & Télécoms,Télécommunications,L1,2025-2026,UE101,Réseaux de base,Prof TRAORE,9.97
EPL0054,MARTIN,Stéphane,M,22/04/1998,Génie Civil,GC Bâtiment,L2,2025-2026,UE102,Électricité,Prof TRAORE,13.84
EPL0055,DELANNOY,Thomas,F,29/11/2007,Génie Civil,GC Travaux Publics,L3,2025-2026,UE201,Résistance des matériaux,Mme KOUADIO,15.09
EPL0056,DIJOUX,Danielle,M,14/07/2004,Génie Civil,GC Bâtiment,M1,2025-2026,UE301,Mathématiques,Mme KOUADIO,14.79
EPL0057,ROBERT,Stéphane,M,28/03/2005,Génie Civil,GC Travaux Publics,M1,2025-2026,UE301,Mathématiques,M. DADEOU,9.48
EPL0058,PETIT,Julie,F,16/04/2007,Informatique,Génie Logiciel,M1,2025-2026,UE401,Machine Learning,M. DADEOU,11.07
EPL0059,WAGNER,Lucas,F,13/05/2000,Informatique,Intelligence Artificielle,L3,2025-2026,UE302,Base de données,Mme KOUADIO,12.99
EPL0060,MARTIN,Emma,F,11/02/2007,Génie Civil,GC Bâtiment,L2,2025-2026,UE102,Électricité,M. DADEOU,14.93
EPL0061,DIJOUX,Stéphane,M,21/04/2004,Informatique,Intelligence Artificielle,M1,2025-2026,UE401,Machine Learning,Mme KOUADIO,10.56
EPL0062,WAGNER,Sophie,F,10/06/1995,Réseaux & Télécoms,Télécommunications,L2,2025-2026,UE202,Transmission de données,M. DADEOU,11.44
EPL0063,MARTIN,Sophie,F,27/01/2007,Réseaux & Télécoms,Télécommunications,L2,2025-2026,UE202,Transmission de données,M. DADEOU,8.68
EPL0064,BERNARD,Thomas,M,21/09/2003,Informatique,Intelligence Artificielle,L3,2025-2026,UE302,Base de données,Mme KOUADIO,8.41
EPL0065,PETIT,Julie,M,02/11/2003,Réseaux & Télécoms,Télécommunications,L1,2025-2026,UE101,Réseaux de base,Mme KOUADIO,14.44
EPL0066,MOREAU,Madeleine,M,01/11/2000,Informatique,Intelligence Artificielle,L3,2025-2026,UE302,Base de données,M. DADEOU,16.07
EPL0067,DUPONT,Sophie,F,15/06/2004,Informatique,Génie Logiciel,M1,2025-2026,UE401,Machine Learning,Prof TRAORE,11.78
EPL0068,ROBERT,Danielle,F,11/01/2000,Réseaux & Télécoms,Télécommunications,L1,2025-2026,UE101,Réseaux de base,Mme KOUADIO,15.01
EPL0069,WAGNER,Danielle,M,08/05/2000,Génie Civil,GC Travaux Publics,M1,2025-2026,UE301,Mathématiques,Prof TRAORE,13.08
EPL0070,WAGNER,Thomas,F,10/04/2003,Génie Civil,GC Bâtiment,L2,2025-2026,UE102,Électricité,Mme KOUADIO,10.06
EPL0071,PETIT,Danielle,F,30/11/2007,Réseaux & Télécoms,Télécommunications,L2,2025-2026,UE202,Transmission de données,Mme KOUADIO,13.08
EPL0072,PETIT,Stéphane,M,06/10/2001,Réseaux & Télécoms,Télécommunications,L1,2025-2026,UE101,Réseaux de base,Prof TRAORE,16.61
EPL0073,BERNARD,Emma,M,07/05/2006,Réseaux & Télécoms,Télécommunications,L1,2025-2026,UE101,Réseaux de base,M. DADEOU,11.89
EPL0074,DELANNOY,Sophie,F,24/04/2005,Réseaux & Télécoms,Télécommunications,L2,2025-2026,UE202,Transmission de données,Prof TRAORE,16.69
EPL0075,ROBERT,Lucas,F,05/06/2005,Informatique,Intelligence Artificielle,M1,2025-2026,UE401,Machine Learning,Mme KOUADIO,4.14
EPL0076,MARTIN,Thomas,M,03/06/2005,Réseaux & Télécoms,Télécommunications,L2,2025-2026,UE202,Transmission de données,M. DADEOU,14.47
EPL0077,DUPONT,Madeleine,F,04/10/1999,Informatique,Intelligence Artificielle,M1,2025-2026,UE401,Machine Learning,Prof TRAORE,12.26
EPL0078,MARTIN,Julie,M,03/08/2006,Génie Civil,GC Bâtiment,L2,2025-2026,UE102,Électricité,M. DADEOU,11.1
EPL0079,ROBERT,Stéphane,F,03/01/2006,Informatique,Génie Logiciel,L3,2025-2026,UE302,Base de données,Mme KOUADIO,12.28
EPL0080,BERNARD,Stéphane,F,12/04/2003,Informatique,Intelligence Artificielle,M1,2025-2026,UE401,Machine Learning,M. DADEOU,6.04
EPL0081,MOREAU,Lucas,F,21/08/2000,Génie Civil,GC Bâtiment,M1,2025-2026,UE301,Mathématiques,M. DADEOU,11.34
EPL0082,DELANNOY,Julie,M,19/04/1999,Génie Civil,GC Travaux Publics,L3,2025-2026,UE201,Résistance des matériaux,Mme KOUADIO,13.07
EPL0083,WAGNER,Lucas,M,04/02/2003,Génie Civil,GC Travaux Publics,L2,2025-2026,UE102,Électricité,M. DADEOU,16.43
EPL0084,SCHMITT,Danielle,F,31/10/1997,Réseaux & Télécoms,Télécommunications,L1,2025-2026,UE101,Réseaux de base,Prof TRAORE,10.45
EPL0085,MARTIN,Thomas,F,17/11/2004,Informatique,Génie Logiciel,L3,2025-2026,UE302,Base de données,M. DADEOU,9.57
EPL0086,DELANNOY,Agathe,F,11/01/2006,Génie Civil,GC Bâtiment,L2,2025-2026,UE102,Électricité,Prof TRAORE,10.49
EPL0087,MARTIN,Agathe,M,28/08/1997,Réseaux & Télécoms,Télécommunications,L1,2025-2026,UE101,Réseaux de base,M. DADEOU,14.75
EPL0088,MOREAU,Lucas,F,06/11/2001,Réseaux & Télécoms,Télécommunications,L1,2025-2026,UE101,Réseaux de base,Prof TRAORE,12.99
EPL0089,WAGNER,Lucas,M,10/07/1998,Génie Civil,GC Bâtiment,M1,2025-2026,UE301,Mathématiques,Mme KOUADIO,10.41
EPL0090,SCHMITT,Sophie,F,16/07/2005,Informatique,Génie Logiciel,L3,2025-2026,UE302,Base de données,Prof TRAORE,13.54
EPL0091,MARTIN,Thomas,M,27/03/2000,Informatique,Génie Logiciel,M1,2025-2026,UE401,Machine Learning,Prof TRAORE,12.29
EPL0092,WAGNER,Madeleine,F,11/03/1998,Génie Civil,GC Bâtiment,L2,2025-2026,UE102,Électricité,Prof TRAORE,14.91
EPL0093,PETIT,Lucas,F,15/10/1997,Informatique,Intelligence Artificielle,M1,2025-2026,UE401,Machine Learning,Prof TRAORE,9.89
EPL0094,ROBERT,Thomas,F,20/10/1996,Réseaux & Télécoms,Télécommunications,L2,2025-2026,UE202,Transmission de données,Prof TRAORE,11.02
EPL0095,MARTIN,Danielle,M,19/02/2000,Réseaux & Télécoms,Télécommunications,L2,2025-2026,UE202,Transmission de données,Mme KOUADIO,10.82
EPL0096,MOREAU,Julie,F,28/03/2001,Génie Civil,GC Travaux Publics,M1,2025-2026,UE301,Mathématiques,Mme KOUADIO,7.61
EPL0097,MOREAU,Emma,F,23/06/2002,Informatique,Génie Logiciel,L3,2025-2026,UE302,Base de données,M. DADEOU,12.89
EPL0098,MOREAU,Lucas,F,04/05/2007,Génie Civil,GC Travaux Publics,L2,2025-2026,UE102,Électricité,M. DADEOU,12.78
EPL0099,DUPONT,Agathe,F,17/07/2006,Génie Civil,GC Travaux Publics,L3,2025-2026,UE201,Résistance des matériaux,Mme KOUADIO,12.02
EPL0100,ROBERT,Emma,F,30/11/2004,Génie Civil,GC Bâtiment,L3,2025-2026,UE201,Résistance des matériaux,M. DADEOU,11.3
EPL0101,MOREAU,Thomas,M,25/08/1995,Réseaux & Télécoms,Télécommunications,L1,2025-2026,UE101,Réseaux de base,Prof TRAORE,7.75
EPL0102,SCHMITT,Julie,F,02/02/1997,Génie Civil,GC Bâtiment,L3,2025-2026,UE201,Résistance des matériaux,Prof TRAORE,10.74
EPL0103,DIJOUX,Thomas,F,31/05/2006,Réseaux & Télécoms,Télécommunications,L2,2025-2026,UE202,Transmission de données,M. DADEOU,10.97
EPL0104,WAGNER,Thomas,M,09/08/2003,Génie Civil,GC Bâtiment,L2,2025-2026,UE102,Électricité,M. DADEOU,9.59
EPL0105,DUPONT,Julie,F,22/01/1995,Informatique,Intelligence Artificielle,M1,2025-2026,UE401,Machine Learning,M. DADEOU,11.52
EPL0106,ROBERT,Thomas,F,16/06/2002,Réseaux & Télécoms,Télécommunications,L2,2025-2026,UE202,Transmission de données,Mme KOUADIO,13.21
EPL0107,WAGNER,Antoine,F,28/03/2000,Informatique,Génie Logiciel,M1,2025-2026,UE401,Machine Learning,Prof TRAORE,17.66
EPL0108,BERNARD,Sophie,M,09/02/2006,Génie Civil,GC Bâtiment,M1,2025-2026,UE301,Mathématiques,Mme KOUADIO,12.52
EPL0109,MOREAU,Agathe,F,06/05/1995,Réseaux & Télécoms,Télécommunications,L2,2025-2026,UE202,Transmission de données,Mme KOUADIO,12.77
EPL0110,MOREAU,Lucas,F,01/12/2003,Réseaux & Télécoms,Télécommunications,L2,2025-2026,UE202,Transmission de données,M. DADEOU,11.78
EPL0111,MOREAU,Julie,M,14/07/1996,Génie Civil,GC Travaux Publics,L2,2025-2026,UE102,Électricité,M. DADEOU,6.24
EPL0112,DELANNOY,Agathe,F,24/09/1998,Réseaux & Télécoms,Télécommunications,L1,2025-2026,UE101,Réseaux de base,M. DADEOU,11.92
EPL0113,SCHMITT,Lucas,F,29/05/2003,Informatique,Génie Logiciel,L3,2025-2026,UE302,Base de données,Prof TRAORE,12.18
EPL0114,DIJOUX,Madeleine,M,08/10/1996,Réseaux & Télécoms,Télécommunications,L1,2025-2026,UE101,Réseaux de base,Prof TRAORE,19.39
EPL0115,DIJOUX,Stéphane,F,11/09/2000,Informatique,Intelligence Artificielle,L3,2025-2026,UE302,Base de données,M. DADEOU,11.42
EPL0116,ROBERT,Madeleine,M,27/11/2004,Informatique,Intelligence Artificielle,M1,2025-2026,UE401,Machine Learning,M. DADEOU,12.9
EPL0117,MARTIN,Stéphane,F,02/11/2005,Génie Civil,GC Bâtiment,L3,2025-2026,UE201,Résistance des matériaux,Prof TRAORE,11.9
EPL0118,MARTIN,Lucas,M,17/11/2003,Informatique,Génie Logiciel,L3,2025-2026,UE302,Base de données,M. DADEOU,8.49
EPL0119,WAGNER,Antoine,F,30/11/1999,Réseaux & Télécoms,Télécommunications,L2,2025-2026,UE202,Transmission de données,Prof TRAORE,15.43
EPL0120,DELANNOY,Danielle,F,20/11/2004,Génie Civil,GC Travaux Publics,M1,2025-2026,UE301,Mathématiques,Mme KOUADIO,14.26
EPL0121,MARTIN,Emma,F,09/12/1998,Génie Civil,GC Bâtiment,M1,2025-2026,UE301,Mathématiques,Prof TRAORE,14.37
EPL0122,ROBERT,Lucas,M,06/10/2000,Informatique,Intelligence Artificielle,M1,2025-2026,UE401,Machine Learning,M. DADEOU,9.27
EPL0123,DELANNOY,Madeleine,M,30/11/2003,Réseaux & Télécoms,Télécommunications,L1,2025-2026,UE101,Réseaux de base,Mme KOUADIO,16.21
EPL0124,MARTIN,Julie,M,14/03/2005,Informatique,Intelligence Artificielle,M1,2025-2026,UE401,Machine Learning,Mme KOUADIO,7.79
EPL0125,WAGNER,Thomas,M,05/08/2007,Informatique,Génie Logiciel,L3,2025-2026,UE302,Base de données,Prof TRAORE,13.76
EPL0126,MARTIN,Sophie,M,19/02/1998,Génie Civil,GC Bâtiment,L3,2025-2026,UE201,Résistance des matériaux,Mme KOUADIO,18.57
EPL0127,DELANNOY,Stéphane,M,19/09/2003,Informatique,Intelligence Artificielle,M1,2025-2026,UE401,Machine Learning,M. DADEOU,9.03
EPL0128,DELANNOY,Thomas,F,10/04/2001,Génie Civil,GC Travaux Publics,L2,2025-2026,UE102,Électricité,M. DADEOU,10.3
EPL0129,WAGNER,Emma,M,29/03/2003,Réseaux & Télécoms,Télécommunications,L1,2025-2026,UE101,Réseaux de base,M. DADEOU,12.3
EPL0130,WAGNER,Agathe,F,20/01/1997,Réseaux & Télécoms,Télécommunications,L1,2025-2026,UE101,Réseaux de base,M. DADEOU,10.49
EPL0131,WAGNER,Madeleine,M,16/07/1996,Réseaux & Télécoms,Télécommunications,L1,2025-2026,UE101,Réseaux de base,M. DADEOU,7.35
EPL0132,DIJOUX,Antoine,M,21/03/2001,Génie Civil,GC Bâtiment,M1,2025-2026,UE301,Mathématiques,Mme KOUADIO,12.21
EPL0133,DELANNOY,Danielle,M,02/05/1995,Informatique,Génie Logiciel,M1,2025-2026,UE401,Machine Learning,Mme KOUADIO,8.81
EPL0134,MARTIN,Danielle,M,10/06/2004,Réseaux & Télécoms,Télécommunications,L1,2025-2026,UE101,Réseaux de base,M. DADEOU,13.42
EPL0135,DUPONT,Julie,M,19/02/2005,Réseaux & Télécoms,Télécommunications,L1,2025-2026,UE101,Réseaux de base,M. DADEOU,9.24
EPL0136,SCHMITT,Danielle,F,04/01/2004,Informatique,Génie Logiciel,M1,2025-2026,UE401,Machine Learning,Mme KOUADIO,16.65
EPL0137,DELANNOY,Emma,M,22/06/1996,Génie Civil,GC Travaux Publics,M1,2025-2026,UE301,Mathématiques,M. DADEOU,9.65
EPL0138,PETIT,Julie,F,05/03/2005,Réseaux & Télécoms,Télécommunications,L1,2025-2026,UE101,Réseaux de base,Prof TRAORE,11.03
EPL0139,ROBERT,Stéphane,F,16/02/2005,Génie Civil,GC Travaux Publics,L3,2025-2026,UE201,Résistance des matériaux,M. DADEOU,14.44
EPL0140,BERNARD,Agathe,F,28/07/2004,Informatique,Intelligence Artificielle,M1,2025-2026,UE401,Machine Learning,Prof TRAORE,8.31
EPL0141,MOREAU,Agathe,M,30/11/1996,Génie Civil,GC Travaux Publics,L2,2025-2026,UE102,Électricité,Mme KOUADIO,12.68
EPL0142,ROBERT,Danielle,F,28/09/1997,Informatique,Intelligence Artificielle,M1,2025-2026,UE401,Machine Learning,M. DADEOU,15.92
EPL0143,PETIT,Lucas,F,28/04/1997,Réseaux & Télécoms,Télécommunications,L1,2025-2026,UE101,Réseaux de base,Mme KOUADIO,7.18
EPL0144,DELANNOY,Emma,F,30/07/1997,Informatique,Génie Logiciel,M1,2025-2026,UE401,Machine Learning,Prof TRAORE,12.55
EPL0145,MARTIN,Danielle,M,16/02/2001,Réseaux & Télécoms,Télécommunications,L2,2025-2026,UE202,Transmission de données,Mme KOUADIO,12.78
EPL0146,DIJOUX,Madeleine,F,24/07/1996,Génie Civil,GC Bâtiment,L2,2025-2026,UE102,Électricité,M. DADEOU,14.35
EPL0147,BERNARD,Thomas,F,13/07/1998,Informatique,Intelligence Artificielle,M1,2025-2026,UE401,Machine Learning,Mme KOUADIO,8.29
EPL0148,DIJOUX,Madeleine,M,30/10/1996,Informatique,Intelligence Artificielle,M1,2025-2026,UE401,Machine Learning,Prof TRAORE,8.04
EPL0149,MOREAU,Sophie,F,01/11/1999,Réseaux & Télécoms,Télécommunications,L2,2025-2026,UE202,Transmission de données,Mme KOUADIO,13.57
EPL0150,MARTIN,Antoine,F,26/10/2006,Réseaux & Télécoms,Télécommunications,L1,2025-2026,UE101,Réseaux de base,M. DADEOU,12.89
EPL0151,PETIT,Danielle,M,02/08/1999,Informatique,Génie Logiciel,L3,2025-2026,UE302,Base de données,M. DADEOU,12.75
EPL0152,DUPONT,Agathe,M,26/02/2006,Réseaux & Télécoms,Télécommunications,L1,2025-2026,UE101,Réseaux de base,M. DADEOU,13.04
EPL0153,ROBERT,Stéphane,F,13/08/1996,Informatique,Génie Logiciel,M1,2025-2026,UE401,Machine Learning,M. DADEOU,9.96
EPL0154,DELANNOY,Emma,F,11/11/2007,Informatique,Intelligence Artificielle,M1,2025-2026,UE401,Machine Learning,M. DADEOU,12.7
EPL0155,SCHMITT,Emma,M,27/04/2005,Réseaux & Télécoms,Télécommunications,L1,2025-2026,UE101,Réseaux de base,Mme KOUADIO,12.88
EPL0156,WAGNER,Sophie,F,02/10/2006,Génie Civil,GC Travaux Publics,L3,2025-2026,UE201,Résistance des matériaux,Mme KOUADIO,9.86
EPL0157,DUPONT,Madeleine,M,13/06/2006,Réseaux & Télécoms,Télécommunications,L1,2025-2026,UE101,Réseaux de base,M. DADEOU,17.6
EPL0158,DIJOUX,Stéphane,M,14/04/1998,Informatique,Génie Logiciel,L3,2025-2026,UE302,Base de données,Prof TRAORE,13.42
EPL0159,DELANNOY,Madeleine,F,28/05/2005,Réseaux & Télécoms,Télécommunications,L2,2025-2026,UE202,Transmission de données,Mme KOUADIO,8.43
EPL0160,MOREAU,Agathe,F,01/12/2004,Réseaux & Télécoms,Télécommunications,L2,2025-2026,UE202,Transmission de données,M. DADEOU,13.97
EPL0161,ROBERT,Agathe,F,10/05/2005,Informatique,Génie Logiciel,L3,2025-2026,UE302,Base de données,M. DADEOU,9.08
EPL0162,DELANNOY,Agathe,F,18/05/2005,Réseaux & Télécoms,Télécommunications,L2,2025-2026,UE202,Transmission de données,M. DADEOU,14.36
EPL0163,PETIT,Thomas,M,21/05/1996,Informatique,Génie Logiciel,M1,2025-2026,UE401,Machine Learning,Prof TRAORE,15.48
EPL0164,DIJOUX,Danielle,M,26/10/2004,Informatique,Génie Logiciel,M1,2025-2026,UE401,Machine Learning,M. DADEOU,9.54
EPL0165,BERNARD,Sophie,F,04/03/1996,Réseaux & Télécoms,Télécommunications,L1,2025-2026,UE101,Réseaux de base,Mme KOUADIO,14.89
EPL0166,ROBERT,Sophie,F,26/08/2000,Réseaux & Télécoms,Télécommunications,L2,2025-2026,UE202,Transmission de données,Prof TRAORE,13.24
EPL0167,DIJOUX,Emma,F,16/10/2003,Génie Civil,GC Bâtiment,L3,2025-2026,UE201,Résistance des matériaux,Prof TRAORE,14.47
EPL0168,DUPONT,Madeleine,M,30/06/2004,Réseaux & Télécoms,Télécommunications,L1,2025-2026,UE101,Réseaux de base,M. DADEOU,17.69
EPL0169,DIJOUX,Stéphane,F,27/11/2005,Génie Civil,GC Bâtiment,L2,2025-2026,UE102,Électricité,Mme KOUADIO,11.26
EPL0170,MARTIN,Agathe,M,21/07/2002,Réseaux & Télécoms,Télécommunications,L2,2025-2026,UE202,Transmission de données,Mme KOUADIO,9.74
EPL0171,DIJOUX,Antoine,M,25/10/2004,Génie Civil,GC Travaux Publics,L3,2025-2026,UE201,Résistance des matériaux,M. DADEOU,9.33
EPL0172,PETIT,Lucas,F,31/03/2000,Réseaux & Télécoms,Télécommunications,L2,2025-2026,UE202,Transmission de données,Mme KOUADIO,9.55
EPL0173,DUPONT,Antoine,F,10/05/2005,Informatique,Intelligence Artificielle,M1,2025-2026,UE401,Machine Learning,Mme KOUADIO,11.77
EPL0174,PETIT,Madeleine,F,03/03/1996,Réseaux & Télécoms,Télécommunications,L2,2025-2026,UE202,Transmission de données,Prof TRAORE,13.02
EPL0175,ROBERT,Agathe,F,18/11/1996,Génie Civil,GC Travaux Publics,L3,2025-2026,UE201,Résistance des matériaux,M. DADEOU,12.83
EPL0176,DELANNOY,Stéphane,F,03/11/2002,Génie Civil,GC Travaux Publics,L2,2025-2026,UE102,Électricité,Prof TRAORE,14.48
EPL0177,DUPONT,Stéphane,F,30/10/1996,Informatique,Génie Logiciel,L3,2025-2026,UE302,Base de données,Mme KOUADIO,12.04
EPL0178,DUPONT,Madeleine,M,10/11/1995,Informatique,Intelligence Artificielle,L3,2025-2026,UE302,Base de données,M. DADEOU,16.36
EPL0179,PETIT,Danielle,M,05/06/1995,Informatique,Génie Logiciel,L3,2025-2026,UE302,Base de données,Mme KOUADIO,11.21
EPL0180,MARTIN,Stéphane,F,25/09/1997,Génie Civil,GC Bâtiment,L3,2025-2026,UE201,Résistance des matériaux,Mme KOUADIO,20.0
EPL0181,DELANNOY,Thomas,M,23/07/2006,Réseaux & Télécoms,Télécommunications,L1,2025-2026,UE101,Réseaux de base,M. DADEOU,13.88
EPL0182,SCHMITT,Antoine,F,24/05/2000,Réseaux & Télécoms,Télécommunications,L1,2025-2026,UE101,Réseaux de base,Prof TRAORE,9.43
